GMID,story_1_SDR_rotD50,story_1_PFA_rotD50,story_2_SDR_rotD50,story_2_PFA_rotD50,story_3_SDR_rotD50,story_3_PFA_rotD50,story_4_SDR_rotD50,story_4_PFA_rotD50,SaT1,PGA,PGV,Sa_avg,CAV,SI,ASI,DSI,DS_5to75,DS_5to95
GM715_RSN4234,0.002418371219992323,0.16706259099837523,0.0020467300755552566,0.23703895424002544,0.0013224452096950467,0.2814709552940775,0.0006395063794515704,0.35678731160545657,304.5357173021485,85.28437091388886,8.023089314961117,165.7167941838003,452.60991650507214,29.449277493983715,121.58364703044415,16.352290953401823,8.919999999999998,20.745
GM716_RSN4849,0.005580179877044111,0.34845006575713183,0.0035281685915507137,0.37804109975861877,0.0018011440924314904,0.38608991057016817,0.0007565065109457115,0.39304343476532977,437.0827327644117,195.19894159571112,36.10565873703705,409.5155765394594,817.4279732171026,153.29296775336073,135.72797580937495,64.00960991517925,7.629999999999999,25.82
GM717_RSN4856,0.016152181103203628,0.8443724559826569,0.008599824142700174,0.8433901005750273,0.006080406322758652,0.8239143389832507,0.001850609565267009,0.8109845558991478,758.1444498301487,561.1637135383204,86.52292684055695,779.4178999891509,1177.903137939788,452.1848016136615,337.2552053658629,262.177144018114,4.890000000000001,7.43
GM718_RSN4861,0.007837913223440969,0.3913605869971364,0.006473299919894794,0.5157354487847001,0.0038331527240153054,0.4727784428363787,0.001071630862361581,0.5130473170922856,579.9444898429157,252.8649116215088,31.81710146290781,576.6248300328936,1276.4545144532522,160.7609038133627,170.49251379885823,79.2242656194492,10.490000000000002,19.99
GM719_RSN4875,0.01452907045961058,0.7187962508978645,0.010054969281391449,0.7750135300633012,0.007312623161036877,0.6346807043132261,0.002395598229065197,0.7366438571124537,626.7389474288938,282.2750775740824,101.95504957362138,604.4003684641948,1758.5875561383082,449.2464456798034,238.87238429726983,511.98228135811735,5.949999999999999,21.29
GM720_RSN4877,0.0017701117192797005,0.08845483824085418,0.0010953326192952553,0.10304652762368874,0.0007941217385828258,0.12146610656857681,0.0002315828896275624,0.13444985391274253,135.88331721950104,45.64231138953779,6.319963642937738,146.07915958965063,278.3697625059193,35.830175322699645,47.87134946828179,17.866782788066764,13.66,25.6
GM721_RSN4878,0.0029782453554623167,0.2174255850517643,0.002022302503283121,0.2676589293844712,0.0010752702111457256,0.2847265171009672,0.0006311584246153418,0.3565552036413504,337.85351822171907,109.92573210524424,12.159694022871625,286.9865912228544,609.6374374815862,58.0997855067293,120.9717414840531,22.353949496896377,12.87,27.46
GM722_RSN4881,0.002348246511002943,0.25854827732402896,0.001631071435009404,0.2987367879089733,0.0012967792337567519,0.33002260491108726,0.0007899204814289022,0.4346355651789255,324.3599025709494,147.08693179542252,13.84030649279098,271.95168093424616,763.6619271956939,53.183703898299015,172.36527671527148,37.99285580681538,9.75,19.46
GM723_RSN4886,0.01091174548151139,0.8245373602527905,0.009854794765065648,1.060891677420597,0.006178376182190303,1.0024111336268173,0.0019177825796911005,1.0665949431377473,1506.2849366463877,399.2797659948827,43.4778659764382,1046.9620253203095,1662.942725936754,164.77097954442337,572.5830584869125,66.07833657678756,6.509999999999998,12.829999999999998
GM724_RSN4894,0.10078517937138257,1.3232285973069233,0.013133092088528416,1.4137235770247814,0.008621086604871703,1.2882473685486355,0.00310486642340331,1.36237646522062,2727.040274019116,649.5045076387519,128.69295749285186,1871.7355689075607,2497.5069859964915,431.840144668216,922.7635448015154,228.87821977292208,5.390000000000001,7.660000000000004
GM725_RSN4895,0.015952335897477136,1.5967594090938118,0.011213762903391895,1.5031311222192763,0.007843119585443252,1.3970231134185622,0.003025214041556306,1.4272923473127794,1950.68688243953,881.1812677541776,93.74072688364195,1652.9686668344657,2119.3405113510294,317.1212958078823,1022.2104880593304,146.7764562114373,5.210000000000001,7.460000000000001
GM726_RSN4896,0.015364722975284906,0.540938201088558,0.008889624070328691,0.5616756255172721,0.007038003934258161,0.6226625162425687,0.0019438198174895338,0.6789640165194633,609.970525220637,313.595053262488,101.75416997298797,694.67430402748,1714.8120776734536,422.0931119760433,277.03895026164133,262.9470725402213,6.760000000000005,14.510000000000003
GM727_RSN4992,0.0018726008159466255,0.08659182815285951,0.0014166511702902232,0.14116218216906232,0.0008700098420449443,0.1884018613507412,0.00034697435459396183,0.20873680349709428,95.32797887056256,35.371787232074524,4.716042271843971,72.1064105122011,345.7781581399597,12.320527467600758,60.34065487912171,6.5712880809754175,11.599999999999998,25.390000000000004
