,PGA,PGV,DS_5to70,DS_5to95,CAV,ASI,SI,DSI,SA(0.05),SA(0.1),SA(0.2),SA(0.3),SA(0.4),SA(0.5),SA(0.6),SA(0.8),SA(1),SA(2),SA(4),SA(6),SA(8),SV(0.5),SD(0.5)
42,204.5096443,9.10353556,4.075,11.56,407.7956024,131.2315344,33.66089186,6.642297076,237.2675759,698.8863371,556.2107298,282.2167534,234.137713,222.8401305,149.1917928,187.4774154,116.8288495,39.43229841,4.538962842,1.657285604,0.876310476,17.73305415,1.411151612
43,117.0583526,6.906867709,6.435,13.59,361.89837,83.97486176,29.02876358,4.357805738,160.3966191,356.5311989,279.9037559,175.658736,190.6099643,197.8810236,159.9353574,185.1613053,106.8728697,23.08250345,3.459504669,1.067431297,0.587311443,15.74687152,1.253096221
44,51.60543623,5.575003956,13.755,23.755,297.3610343,45.55571216,19.32288859,10.38015295,61.71543533,91.92478535,135.5151573,113.2519161,90.88008195,135.7319294,101.5070445,118.5189511,78.2379607,20.15268144,8.725008867,5.977666063,3.578161211,10.80120375,0.859532484
45,69.21535531,9.158148988,15.565,24.87,308.6583684,49.62049385,22.55377819,6.791404872,70.57399312,126.2037765,112.4721972,121.070006,120.1746657,176.4665529,231.9002179,165.8568069,86.59968614,15.20336129,6.824244737,2.819685481,1.673823539,14.04276209,1.117487501
46,70.78934225,2.962747364,4.855,15.46,165.6901528,43.03210606,10.30667824,1.704904651,88.68246758,158.6360959,115.5885103,90.8573825,66.23725125,65.68285877,78.51160154,32.62180357,26.96686946,8.260698313,1.19288679,0.503333176,0.26787649,5.226875825,0.415941562
47,53.36496498,2.242844824,5.485,14.57,166.3921704,47.39497868,8.135331889,1.325057488,80.16787608,160.5680246,93.50691181,99.48354131,143.0228549,66.71915101,51.69401676,28.14519141,21.97566216,6.030987761,0.841414493,0.299178336,0.158549014,5.309341341,0.422503959
48,58.09414349,1.550341641,6.7,15.08,187.1493225,28.92604369,6.42856229,1.753083669,183.3867596,149.2758927,112.5816414,48.75000453,43.3648288,55.57026678,30.66233684,21.67514424,19.92224576,7.595034679,1.653915058,0.388487498,0.165526445,4.422141324,0.351902825
49,46.85445754,1.71414342,6.875,15.01,191.507637,31.45025103,6.715674194,2.204713393,277.5169968,139.1021916,108.510086,76.19526885,51.55552626,43.43476983,28.41771822,19.8021143,23.15583757,7.188113621,1.594395558,0.850830838,0.590191656,3.45642916,0.275053893
50,74.21475606,3.901342519,3.585,7.82,172.8067963,64.86766815,11.62562025,1.654404935,78.09962025,103.0203724,127.3032059,146.6344578,213.5868394,138.132914,78.0191969,70.81219175,39.07551777,6.386294458,1.098431099,0.463586823,0.244958349,10.99226804,0.874736897
51,50.62593822,3.058052153,4.03,9.29,148.1539482,55.10135961,8.439343143,1.157909561,55.88492786,86.94988652,165.3140823,192.3815563,101.4028037,72.02577351,49.93996305,37.56999007,24.91838188,6.139635636,0.831303837,0.390945044,0.185860534,5.731628942,0.456108539
