GMID,story_1_sdrX,story_1_sdrZ,story_1_pfaX,story_1_pfaZ,SaT1,PGA,PGV,Sa_avg,CAV,SI,ASI,DSI,DS_5to75,DS_5to95
GM406_RSN1566,3.6131720930506485e-05,3.416241319418165e-05,0.026710530241838785,0.025727872947081138,28.818367720317564,20.988595711564933,6.088493521565745,59.3705006691991,283.9436071587001,23.82157503327601,18.720326484803834,15.852138623131657,25.809999999999995,38.565000000000005
GM407_RSN1567,3.737793291435468e-05,3.445837640806662e-05,0.028027184242592842,0.027398787248087454,26.195353733172404,15.887058547645438,5.505969873507279,47.562173865354936,224.72102237526923,21.826580786297505,16.429626596504253,19.995592217088536,27.98,42.81
GM408_RSN1568,2.2230656965101148e-05,2.404271242393419e-05,0.017306075627803157,0.017304672697163046,17.61609847543899,14.84007230537443,4.263610098982282,30.40153809553112,142.6968381753677,18.130759408736576,10.0414156820591,16.352447176749866,23.71,36.84
GM409_RSN1598,0.00012884243458038196,0.00013346339295851879,0.10171390869782652,0.09818545618030058,126.13385743375052,35.55839408789736,9.085841244893135,93.63901087990786,363.5483489457082,34.66629731062957,41.68237263415956,53.82853448300703,24.275,33.295
GM410_RSN1601,2.0017419730824443e-05,2.0880209429984165e-05,0.014210488002825504,0.014521026454874263,16.844886996548517,8.048221069020245,3.0995489137718635,26.786812171360687,67.69792490442646,6.878943104538788,12.96468468508128,6.051251874944508,25.24,36.43
GM411_RSN1602,0.0019530730876493076,0.002269675775061275,0.9350619249227047,1.2050308616278136,946.6487952506588,607.3473920891256,56.37001511146263,1182.8952484236452,1019.1688058089824,224.6044651890141,568.526615037491,87.35845937883366,1.8000000000000007,9.060000000000002
GM412_RSN1603,2.3616066815623627e-05,2.5855333995135316e-05,0.018336065970169256,0.01738969709989113,17.96443227158369,12.465856985508768,3.736958440567964,31.818927032836644,178.34058224028516,17.97265742312604,10.51471917166337,10.21244228186718,22.195000000000004,42.315
GM413_RSN1604,2.6145370869811716e-05,3.0316737135780295e-05,0.020852427985698994,0.02020000998746353,20.69611960740993,11.19184562978878,2.532142732580805,33.56709097620756,102.60293698875712,8.761168924246858,12.587636869869105,4.140036822104411,25.705,36.36
GM414_RSN1605,0.0010945265501485111,0.0009712013225176332,0.6039508600208188,0.6185177394622202,589.0748220161817,368.12217625027984,62.59680050819602,899.7205194980025,1149.35918256115,230.5644455645854,421.58247074037627,217.63568899589265,7.120000000000001,10.935
GM415_RSN1608,2.793059421977986e-05,2.291764058667468e-05,0.018489979769400373,0.018158464672908745,18.21600450593861,16.33701373567943,4.888631723584189,33.50784980155361,141.99230272410557,23.21867908225926,10.21187248925838,12.694968132890756,15.855000000000004,24.92
